date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:09	140784/140784	---M-Z	200	added ('OK')	text/css	etag:%22056c58aeccad71:0%22	https://mycourses.siu.edu/d2l/common/css/D2L.LP.Web.Desktop.css?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/common/css/D2L.LP.Web.Desktope821.css	(from https://mycourses.siu.edu/d2l/login)
00:37:09	1858/1858	---M-Z	200	added ('OK')	text/css	etag:%22056c58aeccad71:0%22	https://mycourses.siu.edu/d2l/common/css/D2L.LP.Auth.Web.Desktop.css?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/common/css/D2L.LP.Auth.Web.Desktope821.css	(from https://mycourses.siu.edu/d2l/login)
00:37:09	1405/1405	---M--	200	added ('OK')	image/png	etag:%220cf3187eccad71:0%22	https://mycourses.siu.edu/d2l/img/0/SystemCheck.Main.itemWarning.png?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/img/0/SystemCheck.Main.itemWarninge821.png	(from https://mycourses.siu.edu/d2l/login)
00:37:10	24698/24698	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2005:37:11%20GMT	https://mycourses.siu.edu/d2l/systemCheck	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/systemCheck.html	(from https://mycourses.siu.edu/d2l/login)
00:37:10	586902/586902	---M--	200	added ('OK')	image/jpeg	etag:2232961	https://mycourses.siu.edu/d2l/lp/navbars/6606/theme/viewimage/2232961/view?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/lp/navbars/6606/theme/viewimage/2232961/SIU_horiz_2line_209-ke821.jpg	(from https://mycourses.siu.edu/d2l/login)
00:37:10	614/614	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Nov%202021%2005:37:11%20GMT	https://mycourses.siu.edu/d2l/lp/auth/saml/login	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/lp/auth/saml/login	(from https://mycourses.siu.edu/d2l/login)
00:37:10	3166/3166	---M--	200	added ('OK')	image/png	etag:%220cf3187eccad71:0%22	https://mycourses.siu.edu/d2l/img/0/Branding.LoginPage.infPoweredByBrightspace.png?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/img/0/Branding.LoginPage.infPoweredByBrightspacee821.png	(from https://mycourses.siu.edu/d2l/login)
00:37:11	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2228045013c2c55accfb20fc66ec778904%22	https://s.brightspace.com/lib/jquery/2.2.4/jquery.min.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/jquery/2.2.4/jquery.min.js	(from https://mycourses.siu.edu/d2l/login)
00:37:11	253669/253669	---M-Z	200	added ('OK')	application/javascript	etag:%2235c35b17a1c2a9a682c13a56630db22a%22	https://s.brightspace.com/lib/jqueryui/1.12.1/jquery-ui.min.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/jqueryui/1.12.1/jquery-ui.min.js	(from https://mycourses.siu.edu/d2l/login)
00:37:11	9908/9908	---M-Z	200	added ('OK')	application/javascript	etag:%2285db7584f5cd72c6e1d33e0bf3b88113%22	https://s.brightspace.com/lib/bsi/20.21.10-215/bsi.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/bsi.js	(from https://mycourses.siu.edu/d2l/login)
